Design,Description,Backbone,Train datasets,Epochs,Seed,Baseline,Latency p50 (ms),Latency p95 (ms),Peak memory (MB),FPS,KADID-10k SRCC,KADID-10k PLCC,SPAQ SRCC,SPAQ PLCC,GFIQA-20k SRCC,GFIQA-20k PLCC,PIPAL SRCC,PIPAL PLCC,AIGCIQA2023 SRCC,AIGCIQA2023 PLCC,TID2013 SRCC,TID2013 PLCC,CSIQ SRCC,CSIQ PLCC,CID2013 SRCC,CID2013 PLCC,KonIQ-10k SRCC,KonIQ-10k PLCC,CLIVE SRCC,CLIVE PLCC,AGIQA-3K SRCC,AGIQA-3K PLCC,UHD-IQA SRCC,UHD-IQA PLCC,Avg validation SRCC,Avg validation PLCC,Avg test SRCC,Avg test PLCC,Avg val+test SRCC,Avg val+test PLCC,Parameters,GFLOPs
CLIP-B/16 baseline,"Baseline: frozen CLIP-B/16 [CLS] -> LN -> MLP(768,256,1)",CLIP-B/16,KADID-10k,5,0-2,baseline,3.4,3.6,347.9,499.27,0.7599,0.7300,,,,,,,,,0.5969,0.5620,0.7510,0.6559,0.2001,0.2678,0.4475,0.4253,0.5162,0.4969,0.6808,0.6342,0.1554,0.1585,0.7599,0.7300,0.4783,0.4572,0.6191,0.5936,86.00M,33.6965
CLIP-L/14@336 baseline,"Baseline: frozen CLIP-L/14@336 [CLS] -> LN -> MLP(1024,256,1)",CLIP-L/14@336,KADID-10k,5,0,baseline,20.5,21.3,1206.6,47.40,0.8469,0.8190,,,,,,,,,0.6458,0.6397,0.8272,0.8379,0.3739,0.4170,0.5454,0.5287,0.5628,0.5501,0.6775,0.6106,0.1597,0.1596,0.8469,0.8190,0.5418,0.5348,0.6943,0.6769,303.77M,349.1905
CLIP-L/14@336 joint baseline,"Baseline: frozen CLIP-L/14@336, multi-dataset training suite",CLIP-L/14@336,"KADID-10k, SPAQ, PIPAL, AIGCIQA2023",5,0,baseline,21.4,22.3,1206.6,46.48,0.8357,0.8264,0.8921,0.8934,,,0.4688,0.5193,0.8044,0.8092,0.7077,0.7191,0.7974,0.8264,0.5620,0.6179,0.6245,0.6526,0.7339,0.7326,0.6920,0.6925,0.2041,0.2248,0.7502,0.7621,0.6174,0.6380,0.6838,0.7000,303.77M,349.1905
CLIP-B/16 concat,"Concat [image, text] -> MLP",CLIP-B/16,KADID-10k,5,0-2,variant,3.5,4.9,349.4,500.92,0.7648,0.7574,,,,,,,,,0.6087,0.6107,0.8053,0.7878,0.1617,0.2415,0.4210,0.3988,0.4799,0.4726,0.6884,0.6639,0.1390,0.1442,0.7648,0.7574,0.4720,0.4742,0.6184,0.6158,86.26M,33.6965
CLIP-B/16 interaction,"Concat [image, text, image*text] -> MLP",CLIP-B/16,KADID-10k,5,0-2,variant,3.4,3.8,349.9,507.33,0.7847,0.7892,,,,,,,,,0.5923,0.5887,0.8212,0.7833,0.1930,0.2701,0.4318,0.4088,0.4775,0.4560,0.6752,0.6350,0.1219,0.1308,0.7847,0.7892,0.4733,0.4675,0.6290,0.6283,86.33M,33.6966
CLIP-L/14@336 interaction,"Concat [image, text, image*text] -> MLP",CLIP-L/14@336,KADID-10k,5,0,variant,20.2,20.9,1209.1,46.77,0.8896,0.8837,,,,,,,,,0.6395,0.6349,0.8333,0.8113,0.2574,0.3309,0.5377,0.5263,0.5200,0.5238,0.7222,0.6505,0.1731,0.1761,0.8896,0.8837,0.5262,0.5220,0.7079,0.7028,304.17M,349.1914
CLIP-L/14@336 joint interaction,"Concat [image, text, image*text] -> MLP, multi-dataset training suite",CLIP-L/14@336,"KADID-10k, SPAQ, PIPAL, AIGCIQA2023",5,0,variant,20.4,21.0,1209.1,46.95,0.8717,0.8781,0.8972,0.9008,,,0.5336,0.5753,0.7798,0.8122,0.7478,0.7563,0.8718,0.8795,0.6720,0.6931,0.6293,0.6538,0.7083,0.7195,0.5385,0.5227,0.2208,0.2390,0.7706,0.7916,0.6269,0.6377,0.6988,0.7146,304.17M,349.1914
CLIP-B/16 residual,Unconditional base score + text correction,CLIP-B/16,KADID-10k,5,0-2,variant,3.9,4.7,351.4,494.44,0.7753,0.7427,,,,,,,,,0.5796,0.5477,0.7887,0.7026,0.2474,0.3167,0.4483,0.4238,0.5148,0.4985,0.6855,0.6380,0.1471,0.1476,0.7753,0.7427,0.4873,0.4678,0.6313,0.6053,86.53M,33.6970
