Design,Description,Backbone,Train datasets,Epochs,Seed,Baseline,Latency p50 (ms),Latency p95 (ms),Peak memory (MB),FPS,KADID-10k SRCC,KADID-10k PLCC,SPAQ SRCC,SPAQ PLCC,GFIQA-20k SRCC,GFIQA-20k PLCC,PIPAL SRCC,PIPAL PLCC,AIGCIQA2023 SRCC,AIGCIQA2023 PLCC,TID2013 SRCC,TID2013 PLCC,CSIQ SRCC,CSIQ PLCC,CID2013 SRCC,CID2013 PLCC,KonIQ-10k SRCC,KonIQ-10k PLCC,CLIVE SRCC,CLIVE PLCC,AGIQA-3K SRCC,AGIQA-3K PLCC,UHD-IQA SRCC,UHD-IQA PLCC,Avg validation SRCC,Avg validation PLCC,Avg test SRCC,Avg test PLCC,Avg val+test SRCC,Avg val+test PLCC,Parameters,GFLOPs,run_id,run_name
CLIP-B/16 frozen pretrained classifier layer3-feature-ln concat,"Concat [image, LayerNorm features from layer3 of frozen pretrained classifier] -> 2-hidden-layer MLP",CLIP-B/16,KADID-10k,1,0,variant,"5,4","6,5","407,7",,"0,8314","0,823",,,,,,,,,"0,714","0,7221","0,7967","0,7975","0,294","0,3438","0,4306","0,4294","0,5118","0,5278","0,7204","0,7186","0,0894","0,109","0,8314","0,823","0,5081","0,5212","0,6697","0,6721",97.31M,"46,1179",09fd1be57f33469c8f426cb776e252ad,frozen-trained-layer3-norm-deep-concat-kadid
CLIP-B/16 frozen pretrained classifier layer4-feature-ln concat,"Concat [image, LayerNorm features from layer4 of frozen pretrained classifier] -> 2-hidden-layer MLP",CLIP-B/16,KADID-10k,2,0,variant,"4,8","7,0","408,7",,"0,8906","0,8968",,,,,,,,,"0,6817","0,6908","0,8427","0,8322","0,3874","0,4607","0,3837","0,4022","0,4919","0,5185","0,7114","0,745","0,0489","0,071","0,8906","0,8968","0,5068","0,5315","0,6987","0,7141",97.38M,"49,3393",c72cb4562ce34b4586a030e5c62ae6d7,frozen-trained-layer4-norm-deep-concat-kadid
